UniProt_ID,GO_BP,GO_CC,GO_MF,Tissue_specificity,Interactors,Function,Reactome_ID,KEGG_ID
P40198,leukocyte migration [GO:0050900]; neutrophil degranulation [GO:0043312],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579],,"CGM1a, the predominant CGM1 transcript, is granulocyte-specific. Not detected out of the granulocytic lineage, such as monocytes, lymphocytes, spleen, testis, colon, brain, liver, pancreas, thymus, ovary, placenta, skeletal muscle, prostate, small intestine, heart, lung and kidney. {ECO:0000269|PubMed:11708798}.",,"Major granulocyte receptor mediating recognition and efficient opsonin-independent phagocytosis of CEACAM-binding microorganisms, including Neissiria, Moxarella and Haemophilus species, thus playing an important role in the clearance of pathogens by the innate immune system. Responsible for RAC1 stimulation in the course of pathogen phagocytosis. {ECO:0000269|PubMed:12864848, ECO:0000269|PubMed:14707113}.",R-HSA-202733;R-HSA-6798695;,hsa:1084;
P40933,aging [GO:0007568]; cell-cell signaling [GO:0007267]; cell maturation [GO:0048469]; cellular response to vitamin D [GO:0071305]; extrathymic T cell selection [GO:0045062]; hyaluronan metabolic process [GO:0030212]; immune response [GO:0006955]; inflammatory response [GO:0006954]; interleukin-15-mediated signaling pathway [GO:0035723]; lymph node development [GO:0048535]; macrophage differentiation [GO:0030225]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of smooth muscle cell proliferation [GO:0048662]; neutrophil activation [GO:0042119]; NK T cell proliferation [GO:0001866]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of immune response [GO:0050778]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of natural killer cell proliferation [GO:0032819]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein O-linked glycosylation [GO:1904100]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tissue remodeling [GO:0034105]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; regulation of defense response to virus by host [GO:0050691]; regulation of T cell differentiation [GO:0045580]; signal transduction [GO:0007165]; skeletal muscle atrophy [GO:0014732]; tyrosine phosphorylation of STAT protein [GO:0007260],cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654],cytokine activity [GO:0005125]; cytokine receptor binding [GO:0005126],"Most abundant in placenta and skeletal muscle. It is also detected in the heart, lung, liver and kidney. IL15-S21AA is preferentially expressed in tissues such as testis and thymus.",Q13261; P14784,"Cytokine that stimulates the proliferation of T-lymphocytes (PubMed:8178155). Stimulation by IL15 requires interaction of IL15 with components of the IL2 receptor, including IL2RB and probably IL2RG but not IL2RA (PubMed:8178155). In neutrophils, stimulates phagocytosis probably by signaling through the IL15 receptor, composed of the subunits IL15RA, IL2RB and IL2RG, which results in kinase SYK activation (PubMed:15123770). {ECO:0000269|PubMed:15123770, ECO:0000269|PubMed:8178155}.",R-HSA-8983432;,hsa:3600;
P41208,"cell division [GO:0051301]; centriole replication [GO:0007099]; ciliary basal body-plasma membrane docking [GO:0097711]; G2/M transition of mitotic cell cycle [GO:0000086]; global genome nucleotide-excision repair [GO:0070911]; mitotic cell cycle [GO:0000278]; mRNA transport [GO:0051028]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA damage recognition [GO:0000715]; nucleotide-excision repair, DNA duplex unwinding [GO:0000717]; nucleotide-excision repair, preincision complex assembly [GO:0006294]; protein transport [GO:0015031]; regulation of cytokinesis [GO:0032465]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; spermatogenesis [GO:0007283]",centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; intracellular [GO:0005622]; nuclear pore nuclear basket [GO:0044615]; nucleoplasm [GO:0005654]; photoreceptor connecting cilium [GO:0032391]; transcription export complex 2 [GO:0070390]; XPC complex [GO:0071942],calcium ion binding [GO:0005509]; G-protein beta/gamma-subunit complex binding [GO:0031683]; heterotrimeric G-protein binding [GO:0032795]; microtubule binding [GO:0008017],,O43303; Q96PV4; Q8NA72; Q8NA72-3; A8K8P3; Q2NKQ1-4; Q9H0E7; Q01831,"Plays a fundamental role in microtubule organizing center structure and function. Required for centriole duplication and correct spindle formation. Has a role in regulating cytokinesis and genome stability via cooperation with CALM1 and CCP110.; Involved in global genome nucleotide excision repair (GG-NER) by acting as component of the XPC complex. Cooperatively with RAD23B appears to stabilize XPC. In vitro, stimulates DNA binding of the XPC:RAD23B dimer.; The XPC complex is proposed to represent the first factor bound at the sites of DNA damage and together with other core recognition factors, XPA, RPA and the TFIIH complex, is part of the pre-incision (or initial recognition) complex. The XPC complex recognizes a wide spectrum of damaged DNA characterized by distortions of the DNA helix such as single-stranded loops, mismatched bubbles or single-stranded overhangs. The orientation of XPC complex binding appears to be crucial for inducing a productive NER. XPC complex is proposed to recognize and to interact with unpaired bases on the undamaged DNA strand which is followed by recruitment of the TFIIH complex and subsequent scanning for lesions in the opposite strand in a 5'-to-3' direction by the NER machinery. Cyclobutane pyrimidine dimers (CPDs) which are formed upon UV-induced DNA damage esacpe detection by the XPC complex due to a low degree of structural perurbation. Instead they are detected by the UV-DDB complex which in turn recruits and cooperates with the XPC complex in the respective DNA repair.; As a component of the TREX-2 complex, involved in the export of mRNAs to the cytoplasm through the nuclear pores. {ECO:0000269|PubMed:22307388, ECO:0000305|PubMed:23591820}.",R-HSA-2565942;R-HSA-3108214;R-HSA-380259;R-HSA-380270;R-HSA-380284;R-HSA-380320;R-HSA-5620912;R-HSA-5696394;R-HSA-5696395;R-HSA-8854518;,hsa:1069;
P41227,"DNA packaging [GO:0006323]; internal protein amino acid acetylation [GO:0006475]; negative regulation of maintenance of mitotic sister chromatid cohesion, centromeric [GO:2000719]; N-terminal peptidyl-glutamic acid acetylation [GO:0018002]; N-terminal peptidyl-serine acetylation [GO:0017198]; N-terminal protein amino acid acetylation [GO:0006474]; protein acetylation [GO:0006473]",cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular [GO:0005622]; membrane [GO:0016020]; NatA complex [GO:0031415]; nucleolus [GO:0005730]; nucleus [GO:0005634],N-acetyltransferase activity [GO:0008080]; peptide alpha-N-acetyltransferase activity [GO:0004596]; peptide-glutamate-N-acetyltransferase activity [GO:1990190]; peptide-serine-N-acetyltransferase activity [GO:1990189],Ubiquitous. {ECO:0000269|PubMed:12464182}.,Q15052; Q14155; O55043; Q6W2J9-4; Q13137; Q9C0F1; A2ABF9; Q6UN15; Q92845; P60370; P60409; P50222; Q9GZZ1; Q5VU43; Q96QF0; Q9BYM8; Q9Y2D8; O43829,"Catalytic subunit of the N-terminal acetyltransferase A (NatA) complex which displays alpha (N-terminal) acetyltransferase activity (PubMed:15496142, PubMed:19826488, PubMed:19420222, PubMed:20145209, PubMed:27708256, PubMed:25489052, PubMed:29754825). Acetylates amino termini that are devoid of initiator methionine (PubMed:19420222). The alpha (N-terminal) acetyltransferase activity may be important for vascular, hematopoietic and neuronal growth and development. Without NAA15, displays epsilon (internal) acetyltransferase activity towards HIF1A, thereby promoting its degradation (PubMed:12464182). Represses MYLK kinase activity by acetylation, and thus represses tumor cell migration (PubMed:19826488). Acetylates, and stabilizes TSC2, thereby repressing mTOR activity and suppressing cancer development (PubMed:20145209). Acetylates HSPA1A and HSPA1B at 'Lys-77' which enhances its chaperone activity and leads to preferential binding to co-chaperone HOPX (PubMed:27708256). Acetylates HIST1H4A (PubMed:29754825). Acts as a negative regulator of sister chromatid cohesion during mitosis (PubMed:27422821). {ECO:0000269|PubMed:12464182, ECO:0000269|PubMed:15496142, ECO:0000269|PubMed:19420222, ECO:0000269|PubMed:19826488, ECO:0000269|PubMed:20145209, ECO:0000269|PubMed:25489052, ECO:0000269|PubMed:27422821, ECO:0000269|PubMed:27708256, ECO:0000269|PubMed:29754825}.",,hsa:8260;
P42574,anterior neural tube closure [GO:0061713]; apoptotic DNA fragmentation [GO:0006309]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; axonal fasciculation [GO:0007413]; B cell homeostasis [GO:0001782]; cell fate commitment [GO:0045165]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to staurosporine [GO:0072734]; cytokine-mediated signaling pathway [GO:0019221]; erythrocyte differentiation [GO:0030218]; execution phase of apoptosis [GO:0097194]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; glial cell apoptotic process [GO:0034349]; heart development [GO:0007507]; hippocampus development [GO:0021766]; hippo signaling [GO:0035329]; intrinsic apoptotic signaling pathway in response to osmotic stress [GO:0008627]; keratinocyte differentiation [GO:0030216]; learning or memory [GO:0007611]; leukocyte apoptotic process [GO:0071887]; luteolysis [GO:0001554]; negative regulation of activated T cell proliferation [GO:0046007]; negative regulation of apoptotic process [GO:0043066]; negative regulation of B cell proliferation [GO:0030889]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182]; neurotrophin TRK receptor signaling pathway [GO:0048011]; platelet formation [GO:0030220]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of neuron apoptotic process [GO:0043525]; protein processing [GO:0016485]; proteolysis [GO:0006508]; regulation of macroautophagy [GO:0016241]; regulation of protein stability [GO:0031647]; response to amino acid [GO:0043200]; response to cobalt ion [GO:0032025]; response to estradiol [GO:0032355]; response to glucocorticoid [GO:0051384]; response to glucose [GO:0009749]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to lipopolysaccharide [GO:0032496]; response to nicotine [GO:0035094]; response to tumor necrosis factor [GO:0034612]; response to UV [GO:0009411]; response to X-ray [GO:0010165]; sensory perception of sound [GO:0007605]; striated muscle cell differentiation [GO:0051146]; T cell homeostasis [GO:0043029]; wound healing [GO:0042060],cytoplasm [GO:0005737]; cytosol [GO:0005829]; death-inducing signaling complex [GO:0031264]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],aspartic-type endopeptidase activity [GO:0004190]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type endopeptidase activity involved in apoptotic process [GO:0097153]; cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097199]; cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:0097200]; death receptor binding [GO:0005123]; peptidase activity [GO:0008233]; phospholipase A2 activator activity [GO:0016005]; protease binding [GO:0002020]; protein-containing complex binding [GO:0044877],"Highly expressed in lung, spleen, heart, liver and kidney. Moderate levels in brain and skeletal muscle, and low in testis. Also found in many cell lines, highest expression in cells of the immune system.",O43823; Q9Y243; P55212; P55211; Q00987; O60551; P09874; P10599; Q9BYP7; P98170,"Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a '216-Asp-|-Gly-217' bond. Cleaves and activates sterol regulatory element binding proteins (SREBPs) between the basic helix-loop-helix leucine zipper domain and the membrane attachment domain. Cleaves and activates caspase-6, -7 and -9. Involved in the cleavage of huntingtin. Triggers cell adhesion in sympathetic neurons through RET cleavage. {ECO:0000269|PubMed:21357690, ECO:0000269|PubMed:7596430}.",R-HSA-111459;R-HSA-111463;R-HSA-111464;R-HSA-111465;R-HSA-111469;R-HSA-140342;R-HSA-1474228;R-HSA-2028269;R-HSA-205025;R-HSA-211736;R-HSA-264870;R-HSA-351906;R-HSA-418889;R-HSA-449836;,hsa:836;
P42701,cellular response to interferon-gamma [GO:0071346]; cytokine-mediated signaling pathway [GO:0019221]; interleukin-12-mediated signaling pathway [GO:0035722]; interleukin-23-mediated signaling pathway [GO:0038155]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of memory T cell differentiation [GO:0043382]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T-helper 17 cell lineage commitment [GO:2000330]; positive regulation of T-helper 17 type immune response [GO:2000318]; positive regulation of T-helper 1 type immune response [GO:0002827]; signal transduction [GO:0007165],external side of plasma membrane [GO:0009897]; interleukin-12 receptor complex [GO:0042022]; interleukin-23 receptor complex [GO:0072536]; plasma membrane [GO:0005886]; receptor complex [GO:0043235],cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896],,,"Functions as an interleukin receptor which binds interleukin-12 with low affinity and is involved in IL12 transduction. Associated with IL12RB2 it forms a functional, high affinity receptor for IL12. Associates also with IL23R to form the interleukin-23 receptor which functions in IL23 signal transduction probably through activation of the Jak-Stat signaling cascade. {ECO:0000269|PubMed:12023369}.",R-HSA-9020591;R-HSA-9020933;,hsa:3594;
P42702,cell surface receptor signaling pathway [GO:0007166]; ciliary neurotrophic factor-mediated signaling pathway [GO:0070120]; cytokine-mediated signaling pathway [GO:0019221]; leukemia inhibitory factor signaling pathway [GO:0048861]; oncostatin-M-mediated signaling pathway [GO:0038165]; positive regulation of cell population proliferation [GO:0008284]; regulation of cytokine-mediated signaling pathway [GO:0001959]; response to cytokine [GO:0034097],external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235],ciliary neurotrophic factor receptor binding [GO:0005127]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; growth factor binding [GO:0019838]; leukemia inhibitory factor receptor activity [GO:0004923],,P26441,Signal-transducing molecule. May have a common pathway with IL6ST. The soluble form inhibits the biological activity of LIF by blocking its binding to receptors on target cells.,R-HSA-6788467;R-HSA-8939247;,hsa:3977;
P42785,"angiogenesis involved in wound healing [GO:0060055]; blood coagulation, intrinsic pathway [GO:0007597]; energy homeostasis [GO:0097009]; glucose homeostasis [GO:0042593]; negative regulation of systemic arterial blood pressure [GO:0003085]; neutrophil degranulation [GO:0043312]; plasma kallikrein-kinin cascade [GO:0002353]; proteolysis [GO:0006508]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of thyroid hormone mediated signaling pathway [GO:0002155]",azurophil granule membrane [GO:0035577]; basal part of cell [GO:0045178]; extracellular exosome [GO:0070062]; ficolin-1-rich granule membrane [GO:0101003]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886],dipeptidyl-peptidase activity [GO:0008239]; serine-type carboxypeptidase activity [GO:0004185],"Highest levels in placenta, lung and liver. Also present in heart, brain, pancreas and kidney.",O60883,"Cleaves C-terminal amino acids linked to proline in peptides such as angiotensin II, III and des-Arg9-bradykinin. This cleavage occurs at acidic pH, but enzymatic activity is retained with some substrates at neutral pH.",R-HSA-140837;R-HSA-6798695;,hsa:5547;
P42830,antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell-cell signaling [GO:0007267]; cellular response to lipopolysaccharide [GO:0071222]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; leukocyte chemotaxis [GO:0030595]; neutrophil chemotaxis [GO:0030593]; positive regulation of cell population proliferation [GO:0008284]; signal transduction [GO:0007165],extracellular region [GO:0005576]; extracellular space [GO:0005615],chemokine activity [GO:0008009]; identical protein binding [GO:0042802],,,"Involved in neutrophil activation. In vitro, ENA-78(8-78) and ENA-78(9-78) show a threefold higher chemotactic activity for neutrophil granulocytes. {ECO:0000269|PubMed:10095777}.",R-HSA-380108;R-HSA-418594;,hsa:6374;
P42892,bradykinin catabolic process [GO:0010815]; calcitonin catabolic process [GO:0010816]; ear development [GO:0043583]; embryonic digit morphogenesis [GO:0042733]; endothelin maturation [GO:0034959]; heart development [GO:0007507]; hormone catabolic process [GO:0042447]; peptide hormone processing [GO:0016486]; pharyngeal system development [GO:0060037]; positive regulation of receptor recycling [GO:0001921]; protein processing [GO:0016485]; regulation of systemic arterial blood pressure by endothelin [GO:0003100]; regulation of vasoconstriction [GO:0019229]; substance P catabolic process [GO:0010814],early endosome [GO:0005769]; endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intrinsic component of endosome membrane [GO:0031302]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; Weibel-Palade body [GO:0033093],endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; peptide hormone binding [GO:0017046]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270],"All isoforms are expressed in umbilical vein endothelial cells, polynuclear neutrophils, fibroblasts, atrium cardiomyocytes and ventricles. Isoforms A, B and C are also expressed in placenta, lung, heart, adrenal gland and phaeochromocytoma; isoforms A and C in liver, testis and small intestine; isoform B, C and D in endothelial cells and umbilical vein smooth muscle cells; isoforms C and D in saphenous vein cells, and isoform C in kidney. {ECO:0000269|PubMed:10491078, ECO:0000269|PubMed:9396733}.",P49760; P60370,Converts big endothelin-1 to endothelin-1. {ECO:0000269|PubMed:9396733}.,R-HSA-375276;,hsa:1889;
P43489,"immune response [GO:0006955]; inflammatory response [GO:0006954]; negative regulation of cytokine secretion [GO:0050710]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of immunoglobulin secretion [GO:0051024]; T cell proliferation [GO:0042098]; tumor necrosis factor-mediated signaling pathway [GO:0033209]",cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886],tumor necrosis factor-activated receptor activity [GO:0005031]; virus receptor activity [GO:0001618],,P23510,Receptor for TNFSF4/OX40L/GP34. Is a costimulatory molecule implicated in long-term T-cell immunity. {ECO:0000269|PubMed:7704935}.; (Microbial infection) Acts as a receptor for human herpesvirus 6B/HHV-6B. {ECO:0000269|PubMed:23674671}.,R-HSA-5669034;,hsa:7293;
P43628,immune response [GO:0006955]; regulation of immune response [GO:0050776],integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886],antigen binding [GO:0003823]; signaling receptor activity [GO:0038023],,P30484; Q31612; P04222; P10321; P30499; P30501; P30505; Q29960; Q06124; P29350,"Receptor on natural killer (NK) cells for HLA-C alleles (HLA-Cw1, HLA-Cw3 and HLA-Cw7). Inhibits the activity of NK cells thus preventing cell lysis.",R-HSA-198933;,hsa:3804;
P46531,"animal organ regeneration [GO:0031100]; aortic valve morphogenesis [GO:0003180]; apoptotic process involved in embryonic digit morphogenesis [GO:1902263]; arterial endothelial cell differentiation [GO:0060842]; astrocyte differentiation [GO:0048708]; atrioventricular node development [GO:0003162]; atrioventricular valve morphogenesis [GO:0003181]; auditory receptor cell fate commitment [GO:0009912]; axonogenesis [GO:0007409]; branching morphogenesis of an epithelial tube [GO:0048754]; cardiac atrium morphogenesis [GO:0003209]; cardiac chamber formation [GO:0003207]; cardiac epithelial to mesenchymal transition [GO:0060317]; cardiac left ventricle morphogenesis [GO:0003214]; cardiac muscle cell proliferation [GO:0060038]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac right atrium morphogenesis [GO:0003213]; cardiac right ventricle formation [GO:0003219]; cardiac septum morphogenesis [GO:0060411]; cardiac vascular smooth muscle cell development [GO:0060948]; cardiac ventricle morphogenesis [GO:0003208]; cell cycle arrest [GO:0007050]; cell differentiation in spinal cord [GO:0021515]; cell fate specification [GO:0001708]; cell migration involved in endocardial cushion formation [GO:0003273]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; cilium assembly [GO:0060271]; collecting duct development [GO:0072044]; compartment pattern specification [GO:0007386]; coronary artery morphogenesis [GO:0060982]; coronary sinus valve morphogenesis [GO:0003182]; coronary vein morphogenesis [GO:0003169]; determination of left/right symmetry [GO:0007368]; distal tubule development [GO:0072017]; embryonic hindlimb morphogenesis [GO:0035116]; endocardial cell differentiation [GO:0060956]; endocardial cushion morphogenesis [GO:0003203]; endocardium development [GO:0003157]; endocardium morphogenesis [GO:0003160]; endoderm development [GO:0007492]; epithelial to mesenchymal transition [GO:0001837]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; forebrain development [GO:0030900]; foregut morphogenesis [GO:0007440]; glomerular mesangial cell development [GO:0072144]; growth involved in heart morphogenesis [GO:0003241]; hair follicle morphogenesis [GO:0031069]; heart development [GO:0007507]; heart looping [GO:0001947]; heart trabecula morphogenesis [GO:0061384]; homeostasis of number of cells within a tissue [GO:0048873]; humoral immune response [GO:0006959]; immune response [GO:0006955]; inflammatory response to antigenic stimulus [GO:0002437]; interleukin-4 secretion [GO:0072602]; in utero embryonic development [GO:0001701]; keratinocyte differentiation [GO:0030216]; left/right axis specification [GO:0070986]; liver development [GO:0001889]; lung development [GO:0030324]; mesenchymal cell development [GO:0014031]; mitral valve formation [GO:0003192]; negative regulation of anoikis [GO:2000811]; negative regulation of biomineral tissue development [GO:0070168]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of catalytic activity [GO:0043086]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cell proliferation involved in heart valve morphogenesis [GO:0003252]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of endothelial cell chemotaxis [GO:2001027]; negative regulation of extracellular matrix constituent secretion [GO:0003332]; negative regulation of gene expression [GO:0010629]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of growth rate [GO:0045967]; negative regulation of inner ear auditory receptor cell differentiation [GO:0045608]; negative regulation of myoblast differentiation [GO:0045662]; negative regulation of myotube differentiation [GO:0010832]; negative regulation of neurogenesis [GO:0050768]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of ossification [GO:0030279]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of photoreceptor cell differentiation [GO:0046533]; negative regulation of pro-B cell differentiation [GO:2000974]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neural tube development [GO:0021915]; neuronal stem cell population maintenance [GO:0097150]; Notch signaling involved in heart development [GO:0061314]; Notch signaling pathway [GO:0007219]; Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation [GO:0003270]; oligodendrocyte differentiation [GO:0048709]; outflow tract morphogenesis [GO:0003151]; pericardium morphogenesis [GO:0003344]; positive regulation of aorta morphogenesis [GO:1903849]; positive regulation of apoptotic process involved in morphogenesis [GO:1902339]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of cardiac epithelial to mesenchymal transition [GO:0062043]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endothelial cell differentiation [GO:0045603]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of keratinocyte differentiation [GO:0045618]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061419]; positive regulation of transcription of Notch receptor target [GO:0007221]; positive regulation of viral genome replication [GO:0045070]; prostate gland epithelium morphogenesis [GO:0060740]; pulmonary valve morphogenesis [GO:0003184]; regulation of epithelial cell proliferation involved in prostate gland development [GO:0060768]; regulation of extracellular matrix assembly [GO:1901201]; regulation of somitogenesis [GO:0014807]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation [GO:0003256]; response to corticosteroid [GO:0031960]; response to lipopolysaccharide [GO:0032496]; response to muramyl dipeptide [GO:0032495]; secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development [GO:0060528]; skeletal muscle cell differentiation [GO:0035914]; somatic stem cell division [GO:0048103]; spermatogenesis [GO:0007283]; sprouting angiogenesis [GO:0002040]; tissue regeneration [GO:0042246]; transcription initiation from RNA polymerase II promoter [GO:0006367]; tube formation [GO:0035148]; vasculogenesis involved in coronary vascular morphogenesis [GO:0060979]; venous endothelial cell differentiation [GO:0060843]; ventricular septum morphogenesis [GO:0060412]; ventricular trabecula myocardium morphogenesis [GO:0003222]",acrosomal vesicle [GO:0001669]; adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; MAML1-RBP-Jkappa- ICN1 complex [GO:0002193]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235],"calcium ion binding [GO:0005509]; chromatin DNA binding [GO:0031490]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; Notch binding [GO:0005112]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transmembrane signaling receptor activity [GO:0004888]","In fetal tissues most abundant in spleen, brain stem and lung. Also present in most adult tissues where it is found mainly in lymphoid tissues.",Q13315; Q969H0; Q16665; P78504; O60341; Q8N423; Q92585; P19838; Q13526; Q06330; Q06330-6; Q13573; P98170,"Functions as a receptor for membrane-bound ligands Jagged-1 (JAG1), Jagged-2 (JAG2) and Delta-1 (DLL1) to regulate cell-fate determination. Upon ligand activation through the released notch intracellular domain (NICD) it forms a transcriptional activator complex with RBPJ/RBPSUH and activates genes of the enhancer of split locus. Affects the implementation of differentiation, proliferation and apoptotic programs. Involved in angiogenesis; negatively regulates endothelial cell proliferation and migration and angiogenic sprouting. Involved in the maturation of both CD4(+) and CD8(+) cells in the thymus. Important for follicular differentiation and possibly cell fate selection within the follicle. During cerebellar development, functions as a receptor for neuronal DNER and is involved in the differentiation of Bergmann glia. Represses neuronal and myogenic differentiation. May play an essential role in postimplantation development, probably in some aspect of cell specification and/or differentiation. May be involved in mesoderm development, somite formation and neurogenesis. May enhance HIF1A function by sequestering HIF1AN away from HIF1A. Required for the THBS4 function in regulating protective astrogenesis from the subventricular zone (SVZ) niche after injury. Involved in determination of left/right symmetry by modulating the balance between motile and immotile (sensory) cilia at the left-right organiser (LRO). {ECO:0000269|PubMed:20616313}.",R-HSA-1912399;R-HSA-1912408;R-HSA-1912420;R-HSA-210744;R-HSA-2122947;R-HSA-2122948;R-HSA-2644606;R-HSA-2644607;R-HSA-2660826;R-HSA-2691232;R-HSA-2894862;R-HSA-350054;R-HSA-5083630;R-HSA-8941856;R-HSA-9013508;R-HSA-9013695;,hsa:4851;
