"","UniProt_ID","Function"
"50","O14786","Coexpression with KDR results in increased VEGF165 binding to KDR as well as increased chemotaxis"
"51","O14786","Regulate VEGF-induced angiogenesis"
"52","O14786","Binding to VEGFA initiates a signaling pathway needed for motor neuron axon guidance and cell body migration, including for the caudal migration of facial motor neurons from rhombomere 4 to rhombomere 6 during embryonic development (By similarity)"
"53","O14786","Regulates mitochondrial iron transport via interaction with ABCB8/MITOSUR "
"54","O14786","May induce apoptosis by sequestering VEGF-165 "
"55","O14786","May bind as well various members of the semaphorin family"
"56","O14786","Its expression has an averse effect on blood vessel number and integrity"
"57","O14788","Cytokine that binds to TNFRSF11B/OPG and to TNFRSF11A/RANK"
"58","O14788","Osteoclast differentiation and activation factor"
"59","O14788","Augments the ability of dendritic cells to stimulate naive T-cell proliferation"
"60","O14788","May be an important regulator of interactions between T-cells and dendritic cells and may play a role in the regulation of the T-cell-dependent immune response"
"61","O14788","May also play an important role in enhanced bone-resorption in humoral hypercalcemia of malignancy "
"62","O14788","Induces osteoclastogenesis by activating multiple signaling pathways in osteoclast precursor cells, chief among which is induction of long lasting oscillations in the intracellular concentration of Ca (2+) resulting in the activation of NFATC1, which translocates to the nucleus and induces osteoclast-specific gene transcription to allow differentiation of osteoclasts"
"63","O14788","During osteoclast differentiation, in a TMEM64 and ATP2A2-dependent manner induces activation of CREB1 and mitochondrial ROS generation necessary for proper osteoclast generation (By similarity)"
"64","O14798","Receptor for the cytotoxic ligand TRAIL"
"65","O14798","Lacks a cytoplasmic death domain and hence is not capable of inducing apoptosis"
"66","O14798","May protect cells against TRAIL mediated apoptosis by competing with TRAIL-R1 and R2 for binding to the ligand."
"67","O14944","Ligand of the EGF receptor/EGFR and ERBB4"
"68","O14944","Stimulates EGFR and ERBB4 tyrosine phosphorylation "
"69","O14944","Contributes to inflammation, wound healing, tissue repair, and oocyte maturation by regulating angiogenesis and vascular remodeling and by stimulating cell proliferation "
"70","O15031","Cell surface receptor for SEMA4C, SEMA4D and SEMA4G that plays an important role in cell-cell signaling (By similarity)"
"71","O15031","Plays a role in glutamatergic synapse development and is required for SEMA4A-mediated excitatory synapse development (By similarity)"
"72","O15031","Binding to class 4 semaphorins promotes downstream activation of RHOA and phosphorylation of ERBB2 at 'Tyr-1248' (By similarity)"
"73","O15031","Required for normal differentiation and migration of neuronal cells during brain corticogenesis and for normal embryonic brain development (By similarity)"
"74","O15031","Regulates the migration of cerebellar granule cells in the developing brain (By similarity)"
"75","O15031","Plays a role in RHOA activation and subsequent changes of the actin cytoskeleton "
"76","O15031","Plays a role in axon guidance, invasive growth and cell migration "
"77","O15031","May modulate the activity of RAC1 and CDC42 (By similarity)"
"78","O15123","Binds to TEK/TIE2, competing for the ANGPT1 binding site, and modulating ANGPT1 signaling"
"79","O15123","Can induce tyrosine phosphorylation of TEK/TIE2 in the absence of ANGPT1"
"80","O15123","In the absence of angiogenic inducers, such as VEGF, ANGPT2-mediated loosening of cell-matrix contacts may induce endothelial cell apoptosis with consequent vascular regression"
"81","O15123","In concert with VEGF, it may facilitate endothelial cell migration and proliferation, thus serving as a permissive angiogenic signal"
"82","O15169","Component of the beta-catenin destruction complex required for regulating CTNNB1 levels through phosphorylation and ubiquitination, and modulating Wnt-signaling "
"83","O15169","Controls dorsoventral patterning via two opposing effects; down-regulates CTNNB1 to inhibit the Wnt signaling pathway and ventralize embryos, but also dorsalizes embryos by activating a Wnt-independent JNK signaling pathway "
"84","O15169","In Wnt signaling, probably facilitates the phosphorylation of CTNNB1 and APC by GSK3B "
"85","O15169","Likely to function as a tumor suppressor"
"86","O15169","Enhances TGF-beta signaling by recruiting the RNF111 E3 ubiquitin ligase and promoting the degradation of inhibitory SMAD7 "
"87","O15169","Also component of the AXIN1-HIPK2-TP53 complex which controls cell growth, apoptosis and development "
"88","O15169","Facilitates the phosphorylation of TP53 by HIPK2 upon ultraviolet irradiation "
"89","O15263","Exhibits antimicrobial activity against Gram-negative bacteria and Gram-positive bacteria"
"90","O15263","May act as a ligand for C-C chemokine receptor CCR6"
"91","O15263","Can bind to both human and mouse CCR6 and induce chemotactic activity of CCR6-expressing cells "
"92","O15444","Potentially involved in T-cell development"
"93","O15444","Recombinant protein shows chemotactic activity on thymocytes, macrophages, THP-1 cells, and dendritics cells but is inactive on peripheral blood lymphocytes and neutrophils"
"94","O15444","Binds to CCR9"
"95","O15444","Isoform 2 is an antagonist of isoform 1"
"96","O15444","Binds to atypical chemokine receptor ACKR4 and mediates the recruitment of beta-arrestin (ARRB1/2) to ACKR4."
"97","O15467","Shows chemotactic activity for lymphocytes and monocytes but not neutrophils"
"98","O15467","Also shows potent myelosuppressive activity, suppresses proliferation of myeloid progenitor cells"
"99","O15467","Recombinant SCYA16 shows chemotactic activity for monocytes and THP-1 monocytes, but not for resting lymphocytes and neutrophils"
"100","O15467","Induces a calcium flux in THP-1 cells that were desensitized by prior expression to RANTES."
"101","O15496","PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides"
"102","O15496","Has a powerful potency for releasing arachidonic acid from cell membrane phospholipids"
"103","O15496","Prefers phosphatidylethanolamine and phosphatidylcholine liposomes to those of phosphatidylserine"
"104","O43508","Binds to FN14 and possibly also to TNRFSF12/APO3"
"105","O43508","Weak inducer of apoptosis in some cell types"
"106","O43508","Mediates NF-kappa-B activation"
"107","O43508","Promotes angiogenesis and the proliferation of endothelial cells"
"108","O43508","Also involved in induction of inflammatory cytokines"
"109","O43508","Promotes IL8 secretion"
"110","O43557","Cytokine that binds to TNFRSF3/LTBR"
"111","O43557","Binding to the decoy receptor TNFRSF6B modulates its effects"
"112","O43557","Acts as a ligand for TNFRSF14/HVEM "
"113","O43557","Upon binding to TNFRSF14/HVEM, delivers costimulatory signals to T cells, leading to T cell proliferation and IFNG production "
"114","O43927","Chemotactic for B-lymphocytes but not for T-lymphocytes, monocytes and neutrophils"
"115","O43927","Does not induce calcium release in B-lymphocytes"
"116","O43927","Binds to BLR1/CXCR5."
"117","O75015","Receptor for the Fc region of immunoglobulins gamma"
"118","O75015","Low affinity receptor"
"119","O75015","Binds complexed or aggregated IgG and also monomeric IgG"
"120","O75015","Contrary to III-A, is not capable to mediate antibody-dependent cytotoxicity and phagocytosis"
"121","O75015","May serve as a trap for immune complexes in the peripheral circulation which does not activate neutrophils."
"122","O75023","May act as receptor for class I MHC antigens."
"123","O75144","Ligand for the T-cell-specific cell surface receptor ICOS"
"124","O75144","Acts as a costimulatory signal for T-cell proliferation and cytokine secretion; induces also B-cell proliferation and differentiation into plasma cells"
"125","O75144","Could play an important role in mediating local tissue responses to inflammatory conditions, as well as in modulating the secondary immune response by co-stimulating memory T-cell function (By similarity)"
"126","O75509","Promotes apoptosis, possibly via a pathway that involves the activation of NF-kappa-B"
"127","O75509","Can also promote apoptosis mediated by BAX and by the release of cytochrome c from the mitochondria into the cytoplasm"
"128","O75509","Plays a role in neuronal apoptosis, including apoptosis in response to amyloid peptides derived from APP, and is required for both normal cell body death and axonal pruning"
"129","O75509","Trophic-factor deprivation triggers the cleavage of surface APP by beta-secretase to release sAPP-beta which is further cleaved to release an N-terminal fragment of APP (N-APP)"
"130","O75509","N-APP binds TNFRSF21; this triggers caspase activation and degeneration of both neuronal cell bodies (via caspase-3) and axons (via caspase-6)"
"131","O75509","Negatively regulates oligodendrocyte survival, maturation and myelination"
"132","O75509","Plays a role in signaling cascades triggered by stimulation of T-cell receptors, in the adaptive immune response and in the regulation of T-cell differentiation and proliferation"
"133","O75509","Negatively regulates T-cell responses and the release of cytokines such as IL4, IL5, IL10, IL13 and IFNG by Th2 cells"
"134","O75509","Negatively regulates the production of IgG, IgM and IgM in response to antigens"
"135","O75509","May inhibit the activation of JNK in response to T-cell stimulation"
"136","O75594","Pattern receptor that binds to murein peptidoglycans (PGN) of Gram-positive bacteria"
"137","O75594","Has bactericidal activity towards Gram-positive bacteria"
"138","O75594","May kill Gram-positive bacteria by interfering with peptidoglycan biosynthesis"
"139","O75594","Binds also to Gram-negative bacteria, and has bacteriostatic activity towards Gram-negative bacteria"
"140","O75594","Plays a role in innate immunity"
"141","O76036","Cytotoxicity-activating receptor that may contribute to the increased efficiency of activated natural killer (NK) cells to mediate tumor cell lysis"
"142","O76070","Plays a role in neurofilament network integrity"
"143","O76070","May be involved in modulating axonal architecture during development and in the adult"
"144","O76070","In vitro, increases the susceptibility of neurofilament-H to calcium-dependent proteases (By similarity)"
"145","O76070","May also function in modulating the keratin network in skin"
"146","O76070","Activates the MAPK and Elk-1 signal transduction pathway (By similarity)"
"147","O94985","Induces KLC1 association with vesicles and functions as a cargo in axonal anterograde transport"
"148","O94985","Complex formation with APBA2 and APP, stabilizes APP metabolism and enhances APBA2-mediated suppression of beta-APP40 secretion, due to the retardation of intracellular APP maturation"
"149","O94985","In complex with APBA2 and C99, a C-terminal APP fragment, abolishes C99 interaction with PSEN1 and thus APP C99 cleavage by gamma-secretase, most probably through stabilization of the direct interaction between APBA2 and APP"
"150","O94985","The intracellular fragment AlcICD suppresses APBB1-dependent transactivation stimulated by APP C-terminal intracellular fragment (AICD), most probably by competing with AICD for APBB1-binding"
"151","O94985","May modulate calcium-mediated postsynaptic signals (By similarity)"
"152","O95445","Probably involved in lipid transport"
"153","O95445","Can bind sphingosine-1-phosphate, myristic acid, palmitic acid and stearic acid, retinol, all-trans-retinoic acid and 9-cis-retinoic acid"
"154","O95630","Zinc metalloprotease that specifically cleaves 'Lys-63'-linked polyubiquitin chains"
"155","O95630","Does not cleave 'Lys-48'-linked polyubiquitin chains (By similarity)"
"156","O95630","Plays a role in signal transduction for cell growth and MYC induction mediated by IL-2 and GM-CSF"
"157","O95630","Potentiates BMP (bone morphogenetic protein) signaling by antagonizing the inhibitory action of SMAD6 and SMAD7"
"158","O95630","Has a key role in regulation of cell surface receptor-mediated endocytosis and ubiquitin-dependent sorting of receptors to lysosomes"
"159","O95630","Endosomal localization of STAMBP is required for efficient EGFR degradation but not for its internalization (By similarity)"
"160","O95630","Involved in the negative regulation of PI3K-AKT-mTOR and RAS-MAP signaling pathways"
"161","O95727","Interaction with CADM1 promotes natural killer (NK) cell cytotoxicity and interferon-gamma (IFN-gamma) secretion by CD8+ cells in vitro as well as NK cell-mediated rejection of tumors expressing CADM3 in vivo"
"162","O95750","Involved in the suppression of bile acid biosynthesis through down-regulation of CYP7A1 expression, following positive regulation of the JNK and ERK1/2 cascades"
"163","O95750","Stimulates glucose uptake in adipocytes"
"164","O95750","Activity requires the presence of KLB and FGFR4"
"165","O95760","Cytokine that binds to and signals through the IL1RL1/ST2 receptor which in turn activates NF-kappa-B and MAPK signaling pathways in target cells "
"166","O95760","Involved in the maturation of Th2 cells inducing the secretion of T-helper type 2-associated cytokines"
"167","O95760","Also involved in activation of mast cells, basophils, eosinophils and natural killer cells"
"168","O95760","Acts as a chemoattractant for Th2 cells, and may function as an 'alarmin', that amplifies immune responses during tissue injury "
"169","O95760","This form is rapidely lost upon angiogenic or proinflammatory activation "
"170","O95998","Isoform A binds to IL-18 and inhibits its activity"
"171","O95998","Functions as an inhibitor of the early TH1 cytokine response"
"172","P00441","Destroys radicals which are normally produced within the cells and which are toxic to biological systems."
"173","P00533","Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses "
"174","P00533","Known ligands include EGF, TGFA/TGF-alpha, AREG, epigen/EPGN, BTC/betacellulin, epiregulin/EREG and HBEGF/heparin-binding EGF "
"175","P00533","Ligand binding triggers receptor homo- and/or heterodimerization and autophosphorylation on key cytoplasmic residues"
"176","P00533","The phosphorylated receptor recruits adapter proteins like GRB2 which in turn activates complex downstream signaling cascades"
"177","P00533","Activates at least 4 major downstream signaling cascades including the RAS-RAF-MEK-ERK, PI3 kinase-AKT, PLCgamma-PKC and STATs modules "
"178","P00533","May also activate the NF-kappa-B signaling cascade "
"179","P00533","Also directly phosphorylates other proteins like RGS16, activating its GTPase activity and probably coupling the EGF receptor signaling to the G protein-coupled receptor signaling "
"180","P00533","Also phosphorylates MUC1 and increases its interaction with SRC and CTNNB1/beta-catenin "
"181","P00533","Plays a role in enhancing learning and memory performance (By similarity)"
"182","P00533","Mediates HCV entry by promoting the formation of the CD81-CLDN1 receptor complexes that are essential for HCV entry and by enhancing membrane fusion of cells expressing HCV envelope glycoproteins"
"183","P00749","Specifically cleaves the zymogen plasminogen to form the active enzyme plasmin."
"184","P00750","Converts the abundant, but inactive, zymogen plasminogen to plasmin by hydrolyzing a single Arg-Val bond in plasminogen"
"185","P00750","By controlling plasmin-mediated proteolysis, it plays an important role in tissue remodeling and degradation, in cell migration and many other physiopathological events"
"186","P00750","Plays a direct role in facilitating neuronal migration."
"187","P00813","Catalyzes the hydrolytic deamination of adenosine and 2-deoxyadenosine "
"188","P00813","Plays an important role in purine metabolism and in adenosine homeostasis"
"189","P00813","Modulates signaling by extracellular adenosine, and so contributes indirectly to cellular signaling events"
"190","P00813","Acts as a positive regulator of T-cell coactivation, by binding DPP4 "
"191","P00813","Its interaction with DPP4 regulates lymphocyte-epithelial cell adhesion "
"192","P00813","Enhances dendritic cell immunogenicity by affecting dendritic cell costimulatory molecule expression and cytokines and chemokines secretion (By similarity)"
"193","P00813","Enhances CD4+ T-cell differentiation and proliferation "
"194","P00813","Acts as a positive modulator of adenosine receptors ADORA1 and ADORA2A, by enhancing their ligand affinity via conformational change "
"195","P00813","Stimulates plasminogen activation "
"196","P00813","Plays a role in male fertility "
"197","P00813","Plays a protective role in early postimplantation embryonic development (By similarity)"
"198","P00915","Reversible hydration of carbon dioxide"
"199","P00915","Can hydrates cyanamide to urea"
"200","P01033","Metalloproteinase inhibitor that functions by forming one to one complexes with target metalloproteinases, such as collagenases, and irreversibly inactivates them by binding to their catalytic zinc cofactor"
"201","P01033","Acts on MMP1, MMP2, MMP3, MMP7, MMP8, MMP9, MMP10, MMP11, MMP12, MMP13 and MMP16"
"202","P01033","Does not act on MMP14"
"203","P01033","Also functions as a growth factor that regulates cell differentiation, migration and cell death and activates cellular signaling cascades via CD63 and ITGB1"
"204","P01033","Plays a role in integrin signaling"
"205","P01033","Mediates erythropoiesis in vitro; but, unlike IL3, it is species-specific, stimulating the growth and differentiation of only human and murine erythroid progenitors"
"206","P01034","As an inhibitor of cysteine proteinases, this protein is thought to serve an important physiological role as a local regulator of this enzyme activity."
"207","P01127","Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis"
"208","P01127","Potent mitogen for cells of mesenchymal origin "
"209","P01127","Required for normal proliferation and recruitment of pericytes and vascular smooth muscle cells in the central nervous system, skin, lung, heart and placenta"
"210","P01127","Required for normal blood vessel development, and for normal development of kidney glomeruli"
"211","P01127","Plays an important role in wound healing"
"212","P01127","Signaling is modulated by the formation of heterodimers with PDGFA (By similarity)"
"213","P01130","Binds LDL, the major cholesterol-carrying lipoprotein of plasma, and transports it into cells by endocytosis"
"214","P01130","In order to be internalized, the receptor-ligand complexes must first cluster into clathrin-coated pits"
"215","P01133","EGF stimulates the growth of various epidermal and epithelial tissues in vivo and in vitro and of some fibroblasts in cell culture"
"216","P01133","Magnesiotropic hormone that stimulates magnesium reabsorption in the renal distal convoluted tubule via engagement of EGFR and activation of the magnesium channel TRPM6"
"217","P01133","Can induce neurite outgrowth in motoneurons of the pond snail Lymnaea stagnalis in vitro "
"218","P01135","TGF alpha is a mitogenic polypeptide that is able to bind to the EGF receptor/EGFR and to act synergistically with TGF beta to promote anchorage-independent cell proliferation in soft agar."
"219","P01137","Transforming growth factor beta-1 proprotein: Precursor of the Latency-associated peptide (LAP) and Transforming growth factor beta-1 (TGF-beta-1) chains, which constitute the regulatory and active subunit of TGF-beta-1, respectively"
"220","P01137","Associates non-covalently with TGF-beta-1 and regulates its activation via interaction with 'milieu molecules', such as LTBP1, LRRC32/GARP and LRRC33/NRROS, that control activation of TGF-beta-1 "
"221","P01137","Interaction with LRRC33/NRROS regulates activation of TGF-beta-1 in macrophages and microglia (Probable)"
"222","P01137","Interaction with LRRC32/GARP controls activation of TGF-beta-1 on the surface of activated regulatory T-cells (Tregs) "
"223","P01137","Interaction with integrins (ITGAV:ITGB6 or ITGAV:ITGB8) results in distortion of the Latency-associated peptide chain and subsequent release of the active TGF-beta-1 "
"224","P01137","Activation into mature form follows different steps: following cleavage of the proprotein in the Golgi apparatus, Latency-associated peptide (LAP) and Transforming growth factor beta-1 (TGF-beta-1) chains remain non-covalently linked rendering TGF-beta-1 inactive during storage in extracellular matrix "
"225","P01137","At the same time, LAP chain interacts with 'milieu molecules', such as LTBP1, LRRC32/GARP and LRRC33/NRROS that control activation of TGF-beta-1 and maintain it in a latent state during storage in extracellular milieus "
"226","P01137","TGF-beta-1 is released from LAP by integrins (ITGAV:ITGB6 or ITGAV:ITGB8): integrin-binding to LAP stabilizes an alternative conformation of the LAP bowtie tail and results in distortion of the LAP chain and subsequent release of the active TGF-beta-1 "
"227","P01137","Once activated following release of LAP, TGF-beta-1 acts by binding to TGF-beta receptors (TGFBR1 and TGFBR2), which transduce signal "
"228","P01137","While expressed by many cells types, TGF-beta-1 only has a very localized range of action within cell environment thanks to fine regulation of its activation by Latency-associated peptide chain (LAP) and 'milieu molecules' (By similarity)"
"229","P01137","Plays an important role in bone remodeling: acts as a potent stimulator of osteoblastic bone formation, causing chemotaxis, proliferation and differentiation in committed osteoblasts (By similarity)"
"230","P01137","Can promote either T-helper 17 cells (Th17) or regulatory T-cells (Treg) lineage differentiation in a concentration-dependent manner (By similarity)"
"231","P01137","At high concentrations, leads to FOXP3-mediated suppression of RORC and down-regulation of IL-17 expression, favoring Treg cell development (By similarity)"
"232","P01137","At low concentrations in concert with IL-6 and IL-21, leads to expression of the IL-17 and IL-23 receptors, favoring differentiation to Th17 cells (By similarity)"
"233","P01137","Stimulates sustained production of collagen through the activation of CREB3L1 by regulated intramembrane proteolysis (RIP) "
"234","P01137","Mediates SMAD2/3 activation by inducing its phosphorylation and subsequent translocation to the nucleus "
"235","P01137","Can induce epithelial-to-mesenchymal transition (EMT) and cell migration in various cell types "
"236","P01138","Nerve growth factor is important for the development and maintenance of the sympathetic and sensory nervous systems "
"237","P01138","Extracellular ligand for the NTRK1 and NGFR receptors, activates cellular signaling cascades to regulate neuronal proliferation, differentiation and survival "
"238","P01138","The immature NGF precursor (proNGF) functions as ligand for the heterodimeric receptor formed by SORCS2 and NGFR, and activates cellular signaling cascades that lead to inactivation of RAC1 and/or RAC2, reorganization of the actin cytoskeleton and neuronal growth cone collapse"
"239","P01138","In contrast to mature NGF, the precursor form (proNGF) promotes neuronal apoptosis (in vitro) (By similarity)"
"240","P01138","Inhibits metalloproteinase-dependent proteolysis of platelet glycoprotein VI "
"241","P01138","Binds lysophosphatidylinositol and lysophosphatidylserine between the two chains of the homodimer"
"242","P01138","The lipid-bound form promotes histamine relase from mast cells, contrary to the lipid-free form (By similarity)"
"243","P01374","Cytokine that in its homotrimeric form binds to TNFRSF1A/TNFR1, TNFRSF1B/TNFBR and TNFRSF14/HVEM "
"244","P01374","In its heterotrimeric form with LTB binds to TNFRSF3/LTBR"
"245","P01374","Lymphotoxin is produced by lymphocytes and is cytotoxic for a wide range of tumor cells in vitro and in vivo"
"246","P01375","Cytokine that binds to TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR"
"247","P01375","It is mainly secreted by macrophages and can induce cell death of certain tumor cell lines"
"248","P01375","It is potent pyrogen causing fever by direct action or by stimulation of interleukin-1 secretion and is implicated in the induction of cachexia, Under certain conditions it can stimulate cell proliferation and induce cell differentiation"
"249","P01375","Impairs regulatory T-cells (Treg) function in individuals with rheumatoid arthritis via FOXP3 dephosphorylation"
"250","P01375","Upregulates the expression of protein phosphatase 1 (PP1), which dephosphorylates the key 'Ser-418' residue of FOXP3, thereby inactivating FOXP3 and rendering Treg cells functionally defective "
"251","P01375","Key mediator of cell death in the anticancer action of BCG-stimulated neutrophils in combination with DIABLO/SMAC mimetic in the RT4v6 bladder cancer cell line "
"252","P01375","Induces insulin resistance in adipocytes via inhibition of insulin-induced IRS1 tyrosine phosphorylation and insulin-induced glucose uptake"
"253","P01375","Induces GKAP42 protein degradation in adipocytes which is partially responsible for TNF-induced insulin resistance (By similarity)"
"254","P01574","Has antiviral, antibacterial and anticancer activities."
"255","P01579","Produced by lymphocytes activated by specific antigens or mitogens"
"256","P01579","IFN-gamma, in addition to having antiviral activity, has important immunoregulatory functions"
"257","P01579","It is a potent activator of macrophages, it has antiproliferative effects on transformed cells and it can potentiate the antiviral and antitumor effects of the type I interferons."
"258","P01583","Produced by activated macrophages, IL-1 stimulates thymocyte proliferation by inducing IL-2 release, B-cell maturation and proliferation, and fibroblast growth factor activity"
"259","P01583","IL-1 proteins are involved in the inflammatory response, being identified as endogenous pyrogens, and are reported to stimulate the release of prostaglandin and collagenase from synovial cells."
"260","P01589","Receptor for interleukin-2"
"261","P01589","The receptor is involved in the regulation of immune tolerance by controlling regulatory T cells (TREGs) activity"
"262","P01589","TREGs suppress the activation and expansion of autoreactive T-cells"
"263","P01730","Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses"
"264","P01730","In T-cells, functions primarily as a coreceptor for MHC class II molecule:peptide complex"
"265","P01730","The antigens presented by class II peptides are derived from extracellular proteins while class I peptides are derived from cytosolic proteins"
"266","P01730","Interacts simultaneously with the T-cell receptor (TCR) and the MHC class II presented by antigen presenting cells (APCs)"
"267","P01730","In turn, recruits the Src kinase LCK to the vicinity of the TCR-CD3 complex"
"268","P01730","LCK then initiates different intracellular signaling pathways by phosphorylating various substrates ultimately leading to lymphokine production, motility, adhesion and activation of T-helper cells"
"269","P01730","In other cells such as macrophages or NK cells, plays a role in differentiation/activation, cytokine expression and cell migration in a TCR/LCK-independent pathway"
"270","P01730","Participates in the development of T-helper cells in the thymus and triggers the differentiation of monocytes into functional mature macrophages"
"271","P01730","Down-regulated by HIV-1 Vpu "
"272","P01730","Acts as a receptor for Human Herpes virus 7/HHV-7 "
"273","P01732","Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses"
"274","P01732","In T-cells, functions primarily as a coreceptor for MHC class I molecule:peptide complex"
"275","P01732","The antigens presented by class I peptides are derived from cytosolic proteins while class II derived from extracellular proteins"
"276","P01732","Interacts simultaneously with the T-cell receptor (TCR) and the MHC class I proteins presented by antigen presenting cells (APCs)"
"277","P01732","In turn, recruits the Src kinase LCK to the vicinity of the TCR-CD3 complex"
"278","P01732","LCK then initiates different intracellular signaling pathways by phosphorylating various substrates ultimately leading to lymphokine production, motility, adhesion and activation of cytotoxic T-lymphocytes (CTLs)"
"279","P01732","This mechanism enables CTLs to recognize and eliminate infected cells and tumor cells"
"280","P01732","In NK-cells, the presence of CD8A homodimers at the cell surface provides a survival mechanism allowing conjugation and lysis of multiple target cells"
"281","P01732","CD8A homodimer molecules also promote the survival and differentiation of activated lymphocytes into memory CD8 T-cells"
"282","P02144","Serves as a reserve supply of oxygen and facilitates the movement of oxygen within muscles."
"283","P02452","Type I collagen is a member of group I collagen (fibrillar forming collagen)."
"284","P02778","Pro-inflammatory cytokine that is involved in a wide variety of processes such as chemotaxis, differentiation, and activation of peripheral immune cells, regulation of cell growth, apoptosis and modulation of angiostatic effects "
"285","P02778","Plays thereby an important role during viral infections by stimulating the activation and migration of immune cells to the infected sites (By similarity)"
