"","UniProt_ID","Biological_process","GO_ID"
"122","O14625","positive regulation of release of sequestered calcium ion into cytosol","GO:0051281"
"123","O14625","regulation of cell population proliferation","GO:0042127"
"124","O14625","signal transduction","GO:0007165"
"125","O14625","T cell chemotaxis","GO:0010818"
"126","O14786","actin cytoskeleton reorganization","GO:0031532"
"127","O14786","angiogenesis","GO:0001525"
"128","O14786","angiogenesis involved in coronary vascular morphogenesis","GO:0060978"
"129","O14786","animal organ morphogenesis","GO:0009887"
"130","O14786","artery morphogenesis","GO:0048844"
"131","O14786","axonal fasciculation","GO:0007413"
"132","O14786","axon extension involved in axon guidance","GO:0048846"
"133","O14786","axon guidance","GO:0007411"
"134","O14786","axonogenesis involved in innervation","GO:0060385"
"135","O14786","basal dendrite arborization","GO:0150020"
"136","O14786","basal dendrite development","GO:0150018"
"137","O14786","branching involved in blood vessel morphogenesis","GO:0001569"
"138","O14786","branchiomotor neuron axon guidance","GO:0021785"
"139","O14786","cell-cell signaling","GO:0007267"
"140","O14786","cell migration involved in sprouting angiogenesis","GO:0002042"
"141","O14786","cellular response to hepatocyte growth factor stimulus","GO:0035729"
"142","O14786","cellular response to vascular endothelial growth factor stimulus","GO:0035924"
"143","O14786","commissural neuron axon guidance","GO:0071679"
"144","O14786","coronary artery morphogenesis","GO:0060982"
"145","O14786","dichotomous subdivision of terminal units involved in salivary gland branching","GO:0060666"
"146","O14786","dorsal root ganglion morphogenesis","GO:1904835"
"147","O14786","endothelial cell chemotaxis","GO:0035767"
"148","O14786","endothelial cell migration","GO:0043542"
"149","O14786","endothelial tip cell fate specification","GO:0097102"
"150","O14786","facial nerve structural organization","GO:0021612"
"151","O14786","facioacoustic ganglion development","GO:1903375"
"152","O14786","gonadotrophin-releasing hormone neuronal migration to the hypothalamus","GO:0021828"
"153","O14786","hepatocyte growth factor receptor signaling pathway","GO:0048012"
"154","O14786","integrin-mediated signaling pathway","GO:0007229"
"155","O14786","motor neuron migration","GO:0097475"
"156","O14786","negative regulation of axon extension involved in axon guidance","GO:0048843"
"157","O14786","negative regulation of extrinsic apoptotic signaling pathway","GO:2001237"
"158","O14786","negative regulation of neuron apoptotic process","GO:0043524"
"159","O14786","nerve development","GO:0021675"
"160","O14786","neural crest cell migration involved in autonomic nervous system development","GO:1901166"
"161","O14786","neuron migration","GO:0001764"
"162","O14786","neuropilin signaling pathway","GO:0038189"
"163","O14786","otic placode development","GO:1905040"
"164","O14786","outflow tract septum morphogenesis","GO:0003148"
"165","O14786","platelet-derived growth factor receptor signaling pathway","GO:0048008"
"166","O14786","positive chemotaxis","GO:0050918"
"167","O14786","positive regulation of actin cytoskeleton reorganization","GO:2000251"
"168","O14786","positive regulation of axon extension involved in axon guidance","GO:0048842"
"169","O14786","positive regulation of cell migration involved in sprouting angiogenesis","GO:0090050"
"170","O14786","positive regulation of cytokine activity","GO:0060301"
"171","O14786","positive regulation of endothelial cell migration","GO:0010595"
"172","O14786","positive regulation of endothelial cell proliferation","GO:0001938"
"173","O14786","positive regulation of ERK1 and ERK2 cascade","GO:0070374"
"174","O14786","positive regulation of filopodium assembly","GO:0051491"
"175","O14786","positive regulation of focal adhesion assembly","GO:0051894"
"176","O14786","positive regulation of peptidyl-tyrosine phosphorylation","GO:0050731"
"177","O14786","positive regulation of phosphorylation","GO:0042327"
"178","O14786","positive regulation of retinal ganglion cell axon guidance","GO:1902336"
"179","O14786","positive regulation of smooth muscle cell migration","GO:0014911"
"180","O14786","positive regulation of stress fiber assembly","GO:0051496"
"181","O14786","positive regulation of substrate adhesion-dependent cell spreading","GO:1900026"
"182","O14786","postsynapse organization","GO:0099173"
"183","O14786","protein localization to early endosome","GO:1902946"
"184","O14786","regulation of Cdc42 protein signal transduction","GO:0032489"
"185","O14786","regulation of retinal ganglion cell axon guidance","GO:0090259"
"186","O14786","regulation of vesicle-mediated transport","GO:0060627"
"187","O14786","renal artery morphogenesis","GO:0061441"
"188","O14786","response to wounding","GO:0009611"
"189","O14786","retinal ganglion cell axon guidance","GO:0031290"
"190","O14786","retina vasculature morphogenesis in camera-type eye","GO:0061299"
"191","O14786","semaphorin-plexin signaling pathway","GO:0071526"
"192","O14786","semaphorin-plexin signaling pathway involved in axon guidance","GO:1902287"
"193","O14786","semaphorin-plexin signaling pathway involved in neuron projection guidance","GO:1902285"
"194","O14786","sensory neuron axon guidance","GO:0097374"
"195","O14786","signal transduction","GO:0007165"
"196","O14786","sprouting angiogenesis","GO:0002040"
"197","O14786","substrate adhesion-dependent cell spreading","GO:0034446"
"198","O14786","substrate-dependent cell migration, cell extension","GO:0006930"
"199","O14786","sympathetic ganglion development","GO:0061549"
"200","O14786","sympathetic neuron projection extension","GO:0097490"
"201","O14786","sympathetic neuron projection guidance","GO:0097491"
"202","O14786","toxin transport","GO:1901998"
"203","O14786","trigeminal ganglion development","GO:0061551"
"204","O14786","trigeminal nerve structural organization","GO:0021637"
"205","O14786","vascular endothelial growth factor receptor signaling pathway","GO:0048010"
"206","O14786","VEGF-activated neuropilin signaling pathway","GO:0038190"
"207","O14786","VEGF-activated neuropilin signaling pathway involved in axon guidance","GO:1902378"
"208","O14786","ventral trunk neural crest cell migration","GO:0036486"
"209","O14786","vestibulocochlear nerve structural organization","GO:0021649"
"210","O14788","activation of JUN kinase activity","GO:0007257"
"211","O14788","bone resorption","GO:0045453"
"212","O14788","calcium ion homeostasis","GO:0055074"
"213","O14788","calcium-mediated signaling","GO:0019722"
"214","O14788","cellular response to leukemia inhibitory factor","GO:1990830"
"215","O14788","cytokine-mediated signaling pathway","GO:0019221"
"216","O14788","ERK1 and ERK2 cascade","GO:0070371"
"217","O14788","immune response","GO:0006955"
"218","O14788","mammary gland alveolus development","GO:0060749"
"219","O14788","mammary gland epithelial cell proliferation","GO:0033598"
"220","O14788","monocyte chemotaxis","GO:0002548"
"221","O14788","ossification","GO:0001503"
"222","O14788","osteoclast development","GO:0036035"
"223","O14788","osteoclast differentiation","GO:0030316"
"224","O14788","osteoclast proliferation","GO:0002158"
"225","O14788","paracrine signaling","GO:0038001"
"226","O14788","positive regulation of bone resorption","GO:0045780"
"227","O14788","positive regulation of corticotropin-releasing hormone secretion","GO:0051466"
"228","O14788","positive regulation of DNA-binding transcription factor activity","GO:0051091"
"229","O14788","positive regulation of ERK1 and ERK2 cascade via TNFSF11-mediated signaling","GO:0071848"
"230","O14788","positive regulation of fever generation by positive regulation of prostaglandin secretion","GO:0071812"
"231","O14788","positive regulation of homotypic cell-cell adhesion","GO:0034112"
"232","O14788","positive regulation of I-kappaB kinase/NF-kappaB signaling","GO:0043123"
"233","O14788","positive regulation of intracellular signal transduction","GO:1902533"
"234","O14788","positive regulation of MAP kinase activity","GO:0043406"
"235","O14788","positive regulation of NF-kappaB transcription factor activity","GO:0051092"
"236","O14788","positive regulation of osteoclast development","GO:2001206"
"237","O14788","positive regulation of osteoclast differentiation","GO:0045672"
"238","O14788","positive regulation of protein kinase B signaling","GO:0051897"
"239","O14788","positive regulation of T cell activation","GO:0050870"
"240","O14788","positive regulation of transcription by RNA polymerase II","GO:0045944"
"241","O14788","regulation of actin binding","GO:1904616"
"242","O14788","TNFSF11-mediated signaling pathway","GO:0071847"
"243","O14788","tooth eruption","GO:0044691"
"244","O14788","tumor necrosis factor-mediated signaling pathway","GO:0033209"
"245","O14798","positive regulation of apoptotic process","GO:0043065"
"246","O14798","regulation of apoptotic process","GO:0042981"
"247","O14798","TRAIL-activated apoptotic signaling pathway","GO:0036462"
"248","O14944","anatomical structure morphogenesis","GO:0009653"
"249","O14944","angiogenesis","GO:0001525"
"250","O14944","animal organ morphogenesis","GO:0009887"
"251","O14944","cell-cell signaling","GO:0007267"
"252","O14944","cytokine-mediated signaling pathway","GO:0019221"
"253","O14944","epidermal growth factor receptor signaling pathway","GO:0007173"
"254","O14944","ERBB2 signaling pathway","GO:0038128"
"255","O14944","female meiotic nuclear division","GO:0007143"
"256","O14944","keratinocyte differentiation","GO:0030216"
"257","O14944","keratinocyte proliferation","GO:0043616"
"258","O14944","luteinizing hormone signaling pathway","GO:0042700"
"259","O14944","MAPK cascade","GO:0000165"
"260","O14944","membrane organization","GO:0061024"
"261","O14944","mRNA transcription","GO:0009299"
"262","O14944","negative regulation of cell population proliferation","GO:0008285"
"263","O14944","negative regulation of epidermal growth factor receptor signaling pathway","GO:0042059"
"264","O14944","negative regulation of epithelial cell proliferation","GO:0050680"
"265","O14944","negative regulation of smooth muscle cell differentiation","GO:0051151"
"266","O14944","negative regulation of transcription, DNA-templated","GO:0045892"
"267","O14944","oocyte maturation","GO:0001556"
"268","O14944","ovarian cumulus expansion","GO:0001550"
"269","O14944","ovulation","GO:0030728"
"270","O14944","positive regulation of cell division","GO:0051781"
"271","O14944","positive regulation of cell population proliferation","GO:0008284"
"272","O14944","positive regulation of cytokine biosynthetic process","GO:0042108"
"273","O14944","positive regulation of cytokine production","GO:0001819"
"274","O14944","positive regulation of DNA replication","GO:0045740"
"275","O14944","positive regulation of epidermal growth factor-activated receptor activity","GO:0045741"
"276","O14944","positive regulation of fibroblast proliferation","GO:0048146"
"277","O14944","positive regulation of innate immune response","GO:0045089"
"278","O14944","positive regulation of interleukin-6 biosynthetic process","GO:0045410"
"279","O14944","positive regulation of mitotic nuclear division","GO:0045840"
"280","O14944","positive regulation of phosphorylation","GO:0042327"
"281","O14944","positive regulation of protein kinase activity","GO:0045860"
"282","O14944","positive regulation of protein kinase B signaling","GO:0051897"
"283","O14944","positive regulation of smooth muscle cell proliferation","GO:0048661"
"284","O14944","primary follicle stage","GO:0048160"
"285","O14944","regulation of cell motility","GO:2000145"
"286","O14944","response to peptide hormone","GO:0043434"
"287","O14944","signal transduction","GO:0007165"
"288","O14944","wound healing","GO:0042060"
"289","O15031","brain development","GO:0007420"
"290","O15031","excitatory synapse assembly","GO:1904861"
"291","O15031","homophilic cell adhesion via plasma membrane adhesion molecules","GO:0007156"
"292","O15031","negative regulation of cell adhesion","GO:0007162"
"293","O15031","neural tube closure","GO:0001843"
"294","O15031","neuroblast proliferation","GO:0007405"
"295","O15031","positive regulation of axonogenesis","GO:0050772"
"296","O15031","positive regulation of neuron projection development","GO:0010976"
"297","O15031","regulation of cell migration","GO:0030334"
"298","O15031","regulation of cell shape","GO:0008360"
"299","O15031","regulation of GTPase activity","GO:0043087"
"300","O15031","regulation of neuron migration","GO:2001222"
"301","O15031","regulation of protein phosphorylation","GO:0001932"
"302","O15031","semaphorin-plexin signaling pathway","GO:0071526"
"303","O15031","semaphorin-plexin signaling pathway involved in axon guidance","GO:1902287"
"304","O15123","angiogenesis","GO:0001525"
"305","O15123","animal organ regeneration","GO:0031100"
"306","O15123","cellular response to growth factor stimulus","GO:0071363"
"307","O15123","germ cell development","GO:0007281"
"308","O15123","glomerulus vasculature development","GO:0072012"
"309","O15123","leukocyte migration","GO:0050900"
"310","O15123","maternal process involved in female pregnancy","GO:0060135"
"311","O15123","negative regulation of angiogenesis","GO:0016525"
"312","O15123","negative regulation of blood vessel endothelial cell migration","GO:0043537"
"313","O15123","negative regulation of cell-substrate adhesion","GO:0010812"
"314","O15123","negative regulation of positive chemotaxis","GO:0050928"
"315","O15123","positive regulation of angiogenesis","GO:0045766"
"316","O15123","response to activity","GO:0014823"
"317","O15123","response to glucose","GO:0009749"
"318","O15123","response to hypoxia","GO:0001666"
"319","O15123","response to mechanical stimulus","GO:0009612"
"320","O15123","response to organic cyclic compound","GO:0014070"
"321","O15123","response to radiation","GO:0009314"
"322","O15123","signal transduction","GO:0007165"
"323","O15123","Tie signaling pathway","GO:0048014"
"324","O15169","activation of protein kinase activity","GO:0032147"
"325","O15169","apoptotic process","GO:0006915"
"326","O15169","beta-catenin destruction complex assembly","GO:1904885"
"327","O15169","beta-catenin destruction complex disassembly","GO:1904886"
"328","O15169","cellular protein-containing complex assembly","GO:0034622"
"329","O15169","multicellular organism development","GO:0007275"
"330","O15169","negative regulation of canonical Wnt signaling pathway","GO:0090090"
"331","O15169","positive regulation of canonical Wnt signaling pathway","GO:0090263"
"332","O15169","positive regulation of JNK cascade","GO:0046330"
"333","O15169","positive regulation of peptidyl-serine phosphorylation","GO:0033138"
"334","O15169","positive regulation of peptidyl-threonine phosphorylation","GO:0010800"
"335","O15169","positive regulation of protein catabolic process","GO:0045732"
"336","O15169","positive regulation of protein phosphorylation","GO:0001934"
"337","O15169","positive regulation of protein ubiquitination","GO:0031398"
"338","O15169","positive regulation of transcription, DNA-templated","GO:0045893"
"339","O15169","positive regulation of ubiquitin-dependent protein catabolic process","GO:2000060"
"340","O15169","positive regulation of ubiquitin-protein transferase activity","GO:0051443"
"341","O15169","regulation of intracellular estrogen receptor signaling pathway","GO:0033146"
"342","O15169","regulation of Wnt signaling pathway","GO:0030111"
"343","O15169","Wnt signaling pathway","GO:0016055"
"344","O15263","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844"
"345","O15263","antimicrobial humoral response","GO:0019730"
"346","O15263","cell chemotaxis","GO:0060326"
"347","O15263","chemotaxis","GO:0006935"
"348","O15263","defense response to bacterium","GO:0042742"
"349","O15263","defense response to Gram-negative bacterium","GO:0050829"
"350","O15263","defense response to Gram-positive bacterium","GO:0050830"
"351","O15263","G protein-coupled receptor signaling pathway","GO:0007186"
"352","O15263","immune response","GO:0006955"
"353","O15263","killing of cells of other organism","GO:0031640"
"354","O15444","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844"
"355","O15444","cell chemotaxis","GO:0060326"
"356","O15444","cell surface receptor signaling pathway","GO:0007166"
"357","O15444","cellular response to interferon-gamma","GO:0071346"
"358","O15444","cellular response to interleukin-1","GO:0071347"
"359","O15444","cellular response to tumor necrosis factor","GO:0071356"
"360","O15444","chemokine-mediated signaling pathway","GO:0070098"
"361","O15444","chemotaxis","GO:0006935"
"362","O15444","G protein-coupled receptor signaling pathway","GO:0007186"
"363","O15444","immune response","GO:0006955"
"364","O15444","inflammatory response","GO:0006954"
"365","O15444","killing of cells of other organism","GO:0031640"
"366","O15444","lymphocyte chemotaxis","GO:0048247"
"367","O15444","monocyte chemotaxis","GO:0002548"
"368","O15444","negative regulation of leukocyte tethering or rolling","GO:1903237"
"369","O15444","neutrophil chemotaxis","GO:0030593"
"370","O15444","positive regulation of cell-matrix adhesion","GO:0001954"
"371","O15444","positive regulation of ERK1 and ERK2 cascade","GO:0070374"
"372","O15444","positive regulation of GTPase activity","GO:0043547"
"373","O15467","cell-cell signaling","GO:0007267"
"374","O15467","cell communication","GO:0007154"
"375","O15467","cellular response to interferon-gamma","GO:0071346"
"376","O15467","cellular response to interleukin-1","GO:0071347"
"377","O15467","cellular response to tumor necrosis factor","GO:0071356"
"378","O15467","chemokine-mediated signaling pathway","GO:0070098"
"379","O15467","chemotaxis","GO:0006935"
"380","O15467","G protein-coupled receptor signaling pathway","GO:0007186"
"381","O15467","inflammatory response","GO:0006954"
"382","O15467","lymphocyte chemotaxis","GO:0048247"
"383","O15467","monocyte chemotaxis","GO:0002548"
"384","O15467","neutrophil chemotaxis","GO:0030593"
"385","O15467","positive regulation of ERK1 and ERK2 cascade","GO:0070374"
"386","O15467","positive regulation of GTPase activity","GO:0043547"
"387","O15496","arachidonic acid metabolic process","GO:0019369"
"388","O15496","arachidonic acid secretion","GO:0050482"
"389","O15496","axon guidance","GO:0007411"
"390","O15496","cellular response to leukemia inhibitory factor","GO:1990830"
"391","O15496","cholesterol homeostasis","GO:0042632"
"392","O15496","lipid catabolic process","GO:0016042"
"393","O15496","lysophospholipid transport","GO:0051977"
"394","O15496","negative regulation of cholesterol efflux","GO:0090370"
"395","O15496","negative regulation of DNA-binding transcription factor activity","GO:0043433"
"396","O15496","phosphatidic acid biosynthetic process","GO:0006654"
"397","O15496","phosphatidylcholine acyl-chain remodeling","GO:0036151"
"398","O15496","phosphatidylethanolamine acyl-chain remodeling","GO:0036152"
"399","O15496","phosphatidylglycerol acyl-chain remodeling","GO:0036148"
"400","O15496","phosphatidylinositol acyl-chain remodeling","GO:0036149"
"401","O15496","phosphatidylserine acyl-chain remodeling","GO:0036150"
"402","O15496","positive regulation of arachidonic acid secretion","GO:0090238"
"403","O15496","positive regulation of cellular protein metabolic process","GO:0032270"
"404","O15496","positive regulation of lipid storage","GO:0010884"
"405","O15496","positive regulation of macrophage derived foam cell differentiation","GO:0010744"
"406","O15496","positive regulation of prostaglandin secretion","GO:0032308"
"407","O15496","regulation of macrophage activation","GO:0043030"
"408","O43508","angiogenesis","GO:0001525"
"409","O43508","apoptotic process","GO:0006915"
"410","O43508","apoptotic signaling pathway","GO:0097190"
"411","O43508","cell differentiation","GO:0030154"
"412","O43508","endothelial cell migration","GO:0043542"
"413","O43508","extrinsic apoptotic signaling pathway","GO:0097191"
"414","O43508","immune response","GO:0006955"
"415","O43508","positive regulation of angiogenesis","GO:0045766"
"416","O43508","positive regulation of endothelial cell proliferation","GO:0001938"
"417","O43508","positive regulation of extrinsic apoptotic signaling pathway","GO:2001238"
"418","O43508","positive regulation of protein catabolic process","GO:0045732"
"419","O43508","signal transduction","GO:0007165"
"420","O43508","tumor necrosis factor-mediated signaling pathway","GO:0033209"
"421","O43557","apoptotic process","GO:0006915"
"422","O43557","cellular response to mechanical stimulus","GO:0071260"
"423","O43557","immune response","GO:0006955"
"424","O43557","positive regulation of myoblast differentiation","GO:0045663"
"425","O43557","positive regulation of myoblast fusion","GO:1901741"
"426","O43557","positive regulation of NIK/NF-kappaB signaling","GO:1901224"
"427","O43557","positive regulation of T cell chemotaxis","GO:0010820"
"428","O43557","signal transduction","GO:0007165"
"429","O43557","T cell activation","GO:0042110"
"430","O43557","T cell costimulation","GO:0031295"
"431","O43557","T cell homeostasis","GO:0043029"
"432","O43557","T cell proliferation","GO:0042098"
"433","O43557","tumor necrosis factor-mediated signaling pathway","GO:0033209"
"434","O43927","activation of GTPase activity","GO:0090630"
"435","O43927","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844"
"436","O43927","B cell chemotaxis","GO:0035754"
"437","O43927","cell-cell signaling","GO:0007267"
"438","O43927","cell surface receptor signaling pathway","GO:0007166"
"439","O43927","cellular response to lipopolysaccharide","GO:0071222"
"440","O43927","chemokine-mediated signaling pathway","GO:0070098"
"441","O43927","chronic inflammatory response","GO:0002544"
"442","O43927","defense response to bacterium","GO:0042742"
"443","O43927","endothelial cell chemotaxis to fibroblast growth factor","GO:0035768"
"444","O43927","germinal center formation","GO:0002467"
"445","O43927","G protein-coupled receptor signaling pathway","GO:0007186"
"446","O43927","immune response","GO:0006955"
"447","O43927","inflammatory response","GO:0006954"
"448","O43927","killing of cells of other organism","GO:0031640"
"449","O43927","leukocyte chemotaxis","GO:0030595"
"450","O43927","lymphocyte chemotaxis across high endothelial venule","GO:0002518"
"451","O43927","negative regulation of endothelial cell chemotaxis to fibroblast growth factor","GO:2000545"
"452","O43927","neutrophil chemotaxis","GO:0030593"
"453","O43927","positive regulation of cell-cell adhesion mediated by integrin","GO:0033634"
"454","O43927","positive regulation of cytosolic calcium ion concentration","GO:0007204"
"455","O43927","positive regulation of integrin activation","GO:0033625"
"456","O43927","positive regulation of T cell chemotaxis","GO:0010820"
"457","O43927","regulation of angiogenesis","GO:0045765"
"458","O43927","regulation of humoral immune response","GO:0002920"
"459","O75015","immune response","GO:0006955"
"460","O75015","neutrophil degranulation","GO:0043312"
"461","O75023","adaptive immune response","GO:0002250"
"462","O75023","cell surface receptor signaling pathway","GO:0007166"
"463","O75023","defense response","GO:0006952"
"464","O75144","adaptive immune response","GO:0002250"
"465","O75144","B cell activation","GO:0042113"
"466","O75144","defense response","GO:0006952"
"467","O75144","hyperosmotic response","GO:0006972"
"468","O75144","positive regulation of activated T cell proliferation","GO:0042104"
"469","O75144","regulation of immune response","GO:0050776"
"470","O75144","signal transduction","GO:0007165"
"471","O75144","T cell activation","GO:0042110"
"472","O75144","T cell costimulation","GO:0031295"
"473","O75144","T cell receptor signaling pathway","GO:0050852"
"474","O75509","adaptive immune response","GO:0002250"
"475","O75509","apoptotic process","GO:0006915"
"476","O75509","axonal fasciculation","GO:0007413"
"477","O75509","B cell apoptotic process","GO:0001783"
"478","O75509","cellular response to tumor necrosis factor","GO:0071356"
"479","O75509","humoral immune response","GO:0006959"
"480","O75509","myelination","GO:0042552"
"481","O75509","negative regulation of B cell proliferation","GO:0030889"
"482","O75509","negative regulation of interleukin-10 secretion","GO:2001180"
"483","O75509","negative regulation of interleukin-13 secretion","GO:2000666"
"484","O75509","negative regulation of interleukin-5 secretion","GO:2000663"
"485","O75509","negative regulation of myelination","GO:0031642"
"486","O75509","negative regulation of T cell proliferation","GO:0042130"
"487","O75509","neuron apoptotic process","GO:0051402"
