"","UniProt_ID","Reactome_ID","Pathway_Description"
"93","O95750","R-HSA-109704","PI3K Cascade"
"94","O95750","R-HSA-1257604","PIP3 activates AKT signaling"
"95","O95750","R-HSA-1307965","betaKlotho-mediated ligand binding"
"96","O95750","R-HSA-190322","FGFR4 ligand binding and activation"
"97","O95750","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"98","O95750","R-HSA-5654228","Phospholipase C-mediated cascade, FGFR4"
"99","O95750","R-HSA-5654712","FRS-mediated FGFR4 signaling"
"100","O95750","R-HSA-5654719","SHC-mediated cascade:FGFR4"
"101","O95750","R-HSA-5654720","PI-3K cascade:FGFR4"
"102","O95750","R-HSA-5654733","Negative regulation of FGFR4 signaling"
"103","O95750","R-HSA-5673001","RAF/MAP kinase cascade"
"104","O95750","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"105","O95760","R-HSA-1257604","PIP3 activates AKT signaling"
"106","O95760","R-HSA-5689880","Ub-specific processing proteases"
"107","O95760","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"108","O95760","R-HSA-9014843","Interleukin-33 signaling"
"109","O95998","R-HSA-9008059","Interleukin-37 signaling"
"110","O95998","R-HSA-9012546","Interleukin-18 signaling"
"111","P00441","R-HSA-114608","Platelet degranulation"
"112","P00441","R-HSA-3299685","Detoxification of Reactive Oxygen Species"
"113","P00441","R-HSA-8950505","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation"
"114","P00533","R-HSA-1227986","Signaling by ERBB2"
"115","P00533","R-HSA-1236382","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"
"116","P00533","R-HSA-1236394","Signaling by ERBB4"
"117","P00533","R-HSA-1250196","SHC1 events in ERBB2 signaling"
"118","P00533","R-HSA-1251932","PLCG1 events in ERBB2 signaling"
"119","P00533","R-HSA-1257604","PIP3 activates AKT signaling"
"120","P00533","R-HSA-177929","Signaling by EGFR"
"121","P00533","R-HSA-179812","GRB2 events in EGFR signaling"
"122","P00533","R-HSA-180292","GAB1 signalosome"
"123","P00533","R-HSA-180336","SHC1 events in EGFR signaling"
"124","P00533","R-HSA-182971","EGFR downregulation"
"125","P00533","R-HSA-1963640","GRB2 events in ERBB2 signaling"
"126","P00533","R-HSA-1963642","PI3K events in ERBB2 signaling"
"127","P00533","R-HSA-212718","EGFR interacts with phospholipase C-gamma"
"128","P00533","R-HSA-2179392","EGFR Transactivation by Gastrin"
"129","P00533","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"130","P00533","R-HSA-445144","Signal transduction by L1"
"131","P00533","R-HSA-5637810","Constitutive Signaling by EGFRvIII"
"132","P00533","R-HSA-5638303","Inhibition of Signaling by Overexpressed EGFR"
"133","P00533","R-HSA-5673001","RAF/MAP kinase cascade"
"134","P00533","R-HSA-6785631","ERBB2 Regulates Cell Motility"
"135","P00533","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"136","P00533","R-HSA-8847993","ERBB2 Activates PTK6 Signaling"
"137","P00533","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis"
"138","P00533","R-HSA-8856828","Clathrin-mediated endocytosis"
"139","P00533","R-HSA-8857538","PTK6 promotes HIF1A stabilization"
"140","P00533","R-HSA-8863795","Downregulation of ERBB2 signaling"
"141","P00533","R-HSA-8866910","TFAP2 (AP-2) family regulates transcription of growth factors and their receptors"
"142","P00533","R-HSA-9009391","Extra-nuclear estrogen signaling"
"143","P00533","R-HSA-9013507","NOTCH3 Activation and Transmission of Signal to the Nucleus"
"144","P00533","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling"
"145","P00749","R-HSA-6798695","Neutrophil degranulation"
"146","P00749","R-HSA-75205","Dissolution of Fibrin Clot"
"147","P00750","R-HSA-186797","Signaling by PDGF"
"148","P00750","R-HSA-75205","Dissolution of Fibrin Clot"
"149","P00813","R-HSA-74217","Purine salvage"
"150","P00915","R-HSA-1237044","Erythrocytes take up carbon dioxide and release oxygen"
"151","P00915","R-HSA-1247673","Erythrocytes take up oxygen and release carbon dioxide"
"152","P00915","R-HSA-1475029","Reversible hydration of carbon dioxide"
"153","P00915","R-HSA-8950505","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation"
"154","P01033","R-HSA-114608","Platelet degranulation"
"155","P01033","R-HSA-1592389","Activation of Matrix Metalloproteinases"
"156","P01033","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"157","P01033","R-HSA-6783783","Interleukin-10 signaling"
"158","P01033","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"159","P01033","R-HSA-8957275","Post-translational protein phosphorylation"
"160","P01034","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"161","P01034","R-HSA-6798695","Neutrophil degranulation"
"162","P01034","R-HSA-8957275","Post-translational protein phosphorylation"
"163","P01034","R-HSA-977225","Amyloid fiber formation"
"164","P01127","R-HSA-114608","Platelet degranulation"
"165","P01127","R-HSA-1257604","PIP3 activates AKT signaling"
"166","P01127","R-HSA-186763","Downstream signal transduction"
"167","P01127","R-HSA-186797","Signaling by PDGF"
"168","P01127","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"169","P01127","R-HSA-3000171","Non-integrin membrane-ECM interactions"
"170","P01127","R-HSA-5673001","RAF/MAP kinase cascade"
"171","P01127","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"172","P01130","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis"
"173","P01130","R-HSA-8856828","Clathrin-mediated endocytosis"
"174","P01130","R-HSA-8964026","Chylomicron clearance"
"175","P01130","R-HSA-8964038","LDL clearance"
"176","P01130","R-HSA-975634","Retinoid metabolism and transport"
"177","P01133","R-HSA-114608","Platelet degranulation"
"178","P01133","R-HSA-1227986","Signaling by ERBB2"
"179","P01133","R-HSA-1236382","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"
"180","P01133","R-HSA-1236394","Signaling by ERBB4"
"181","P01133","R-HSA-1250196","SHC1 events in ERBB2 signaling"
"182","P01133","R-HSA-1251932","PLCG1 events in ERBB2 signaling"
"183","P01133","R-HSA-1257604","PIP3 activates AKT signaling"
"184","P01133","R-HSA-177929","Signaling by EGFR"
"185","P01133","R-HSA-179812","GRB2 events in EGFR signaling"
"186","P01133","R-HSA-180292","GAB1 signalosome"
"187","P01133","R-HSA-180336","SHC1 events in EGFR signaling"
"188","P01133","R-HSA-182971","EGFR downregulation"
"189","P01133","R-HSA-1963640","GRB2 events in ERBB2 signaling"
"190","P01133","R-HSA-1963642","PI3K events in ERBB2 signaling"
"191","P01133","R-HSA-212718","EGFR interacts with phospholipase C-gamma"
"192","P01133","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"193","P01133","R-HSA-5637810","Constitutive Signaling by EGFRvIII"
"194","P01133","R-HSA-5638303","Inhibition of Signaling by Overexpressed EGFR"
"195","P01133","R-HSA-5673001","RAF/MAP kinase cascade"
"196","P01133","R-HSA-6785631","ERBB2 Regulates Cell Motility"
"197","P01133","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"198","P01133","R-HSA-8847993","ERBB2 Activates PTK6 Signaling"
"199","P01133","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis"
"200","P01133","R-HSA-8856828","Clathrin-mediated endocytosis"
"201","P01133","R-HSA-8863795","Downregulation of ERBB2 signaling"
"202","P01133","R-HSA-9009391","Extra-nuclear estrogen signaling"
"203","P01133","R-HSA-9013507","NOTCH3 Activation and Transmission of Signal to the Nucleus"
"204","P01133","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling"
"205","P01135","R-HSA-1257604","PIP3 activates AKT signaling"
"206","P01135","R-HSA-177929","Signaling by EGFR"
"207","P01135","R-HSA-179812","GRB2 events in EGFR signaling"
"208","P01135","R-HSA-180292","GAB1 signalosome"
"209","P01135","R-HSA-180336","SHC1 events in EGFR signaling"
"210","P01135","R-HSA-182971","EGFR downregulation"
"211","P01135","R-HSA-204005","COPII-mediated vesicle transport"
"212","P01135","R-HSA-212718","EGFR interacts with phospholipase C-gamma"
"213","P01135","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"214","P01135","R-HSA-5638303","Inhibition of Signaling by Overexpressed EGFR"
"215","P01135","R-HSA-5673001","RAF/MAP kinase cascade"
"216","P01135","R-HSA-5694530","Cargo concentration in the ER"
"217","P01135","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"218","P01135","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis"
"219","P01135","R-HSA-8856828","Clathrin-mediated endocytosis"
"220","P01135","R-HSA-8866910","TFAP2 (AP-2) family regulates transcription of growth factors and their receptors"
"221","P01135","R-HSA-9009391","Extra-nuclear estrogen signaling"
"222","P01135","R-HSA-9018519","Estrogen-dependent gene expression"
"223","P01135","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling"
"224","P01137","R-HSA-114608","Platelet degranulation"
"225","P01137","R-HSA-168277","Influenza Virus Induced Apoptosis"
"226","P01137","R-HSA-202733","Cell surface interactions at the vascular wall"
"227","P01137","R-HSA-2129379","Molecules associated with elastic fibres"
"228","P01137","R-HSA-2173788","Downregulation of TGF-beta receptor signaling"
"229","P01137","R-HSA-2173789","TGF-beta receptor signaling activates SMADs"
"230","P01137","R-HSA-2173791","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)"
"231","P01137","R-HSA-3000170","Syndecan interactions"
"232","P01137","R-HSA-3000178","ECM proteoglycans"
"233","P01137","R-HSA-3304356","SMAD2/3 Phosphorylation Motif Mutants in Cancer"
"234","P01137","R-HSA-3642279","TGFBR2 MSI Frameshift Mutants in Cancer"
"235","P01137","R-HSA-3645790","TGFBR2 Kinase Domain Mutants in Cancer"
"236","P01137","R-HSA-3656532","TGFBR1 KD Mutants in Cancer"
"237","P01137","R-HSA-3656535","TGFBR1 LBD Mutants in Cancer"
"238","P01137","R-HSA-381340","Transcriptional regulation of white adipocyte differentiation"
"239","P01137","R-HSA-5689603","UCH proteinases"
"240","P01137","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"241","P01137","R-HSA-8941855","RUNX3 regulates CDKN1A transcription"
"242","P01137","R-HSA-8941858","Regulation of RUNX3 expression and activity"
"243","P01137","R-HSA-8951936","RUNX3 regulates p14-ARF"
"244","P01138","R-HSA-167021","PLC-gamma1 signalling"
"245","P01138","R-HSA-167044","Signalling to RAS"
"246","P01138","R-HSA-167060","NGF processing"
"247","P01138","R-HSA-170968","Frs2-mediated activation"
"248","P01138","R-HSA-170984","ARMS-mediated activation"
"249","P01138","R-HSA-177504","Retrograde neurotrophin signalling"
"250","P01138","R-HSA-187042","TRKA activation by NGF"
"251","P01138","R-HSA-187706","Signalling to p38 via RIT and RIN"
"252","P01138","R-HSA-193648","NRAGE signals death through JNK"
"253","P01138","R-HSA-193670","p75NTR negatively regulates cell cycle via SC1"
"254","P01138","R-HSA-193681","Ceramide signalling"
"255","P01138","R-HSA-198203","PI3K/AKT activation"
"256","P01138","R-HSA-198745","Signalling to STAT3"
"257","P01138","R-HSA-205017","NFG and proNGF binds to p75NTR"
"258","P01138","R-HSA-205025","NADE modulates death signalling"
"259","P01138","R-HSA-205043","NRIF signals cell death from the nucleus"
"260","P01138","R-HSA-209543","p75NTR recruits signalling complexes"
"261","P01138","R-HSA-209560","NF-kB is activated and signals survival"
"262","P01138","R-HSA-209563","Axonal growth stimulation"
"263","P01374","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"264","P01374","R-HSA-5669034","TNFs bind their physiological receptors"
"265","P01374","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway"
"266","P01375","R-HSA-381340","Transcriptional regulation of white adipocyte differentiation"
"267","P01375","R-HSA-5357786","TNFR1-induced proapoptotic signaling"
"268","P01375","R-HSA-5357905","Regulation of TNFR1 signaling"
"269","P01375","R-HSA-5357956","TNFR1-induced NFkappaB signaling pathway"
"270","P01375","R-HSA-5626978","TNFR1-mediated ceramide production"
"271","P01375","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"272","P01375","R-HSA-6783783","Interleukin-10 signaling"
"273","P01375","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"274","P01375","R-HSA-75893","TNF signaling"
"275","P01574","R-HSA-2559580","Oxidative Stress Induced Senescence"
"276","P01574","R-HSA-909733","Interferon alpha/beta signaling"
"277","P01574","R-HSA-912694","Regulation of IFNA signaling"
"278","P01574","R-HSA-918233","TRAF3-dependent IRF activation pathway"
"279","P01574","R-HSA-933541","TRAF6 mediated IRF7 activation"
"280","P01574","R-HSA-983231","Factors involved in megakaryocyte development and platelet production"
"281","P01579","R-HSA-877300","Interferon gamma signaling"
"282","P01579","R-HSA-877312","Regulation of IFNG signaling"
"283","P01579","R-HSA-8877330","RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)"
"284","P01579","R-HSA-8950505","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation"
"285","P01583","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)"
"286","P01583","R-HSA-448706","Interleukin-1 processing"
"287","P01583","R-HSA-6783783","Interleukin-10 signaling"
"288","P01583","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"289","P01583","R-HSA-9020702","Interleukin-1 signaling"
"290","P01589","R-HSA-5673001","RAF/MAP kinase cascade"
"291","P01589","R-HSA-8877330","RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)"
"292","P01589","R-HSA-9020558","Interleukin-2 signaling"
"293","P01589","R-HSA-912526","Interleukin receptor SHC signaling"
"294","P01730","R-HSA-1462054","Alpha-defensins"
"295","P01730","R-HSA-167590","Nef Mediated CD4 Down-regulation"
"296","P01730","R-HSA-173107","Binding and entry of HIV virion"
"297","P01730","R-HSA-180534","Vpu mediated degradation of CD4"
"298","P01730","R-HSA-202424","Downstream TCR signaling"
"299","P01730","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains"
"300","P01730","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse"
"301","P01730","R-HSA-202433","Generation of second messenger molecules"
"302","P01730","R-HSA-389948","PD-1 signaling"
"303","P01730","R-HSA-449836","Other interleukin signaling"
"304","P01730","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis"
"305","P01730","R-HSA-8856828","Clathrin-mediated endocytosis"
"306","P01732","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"307","P02144","R-HSA-8981607","Intracellular oxygen transport"
"308","P02452","R-HSA-114604","GPVI-mediated activation cascade"
"309","P02452","R-HSA-1442490","Collagen degradation"
"310","P02452","R-HSA-1474244","Extracellular matrix organization"
"311","P02452","R-HSA-1650814","Collagen biosynthesis and modifying enzymes"
"312","P02452","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"313","P02452","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures"
"314","P02452","R-HSA-202733","Cell surface interactions at the vascular wall"
"315","P02452","R-HSA-216083","Integrin cell surface interactions"
"316","P02452","R-HSA-2214320","Anchoring fibril formation"
"317","P02452","R-HSA-2243919","Crosslinking of collagen fibrils"
"318","P02452","R-HSA-3000170","Syndecan interactions"
"319","P02452","R-HSA-3000171","Non-integrin membrane-ECM interactions"
"320","P02452","R-HSA-3000178","ECM proteoglycans"
"321","P02452","R-HSA-3000480","Scavenging by Class A Receptors"
"322","P02452","R-HSA-430116","GP1b-IX-V activation signalling"
"323","P02452","R-HSA-75892","Platelet Adhesion to exposed collagen"
"324","P02452","R-HSA-76009","Platelet Aggregation (Plug Formation)"
"325","P02452","R-HSA-8874081","MET activates PTK2 signaling"
"326","P02452","R-HSA-8940973","RUNX2 regulates osteoblast differentiation"
"327","P02452","R-HSA-8948216","Collagen chain trimerization"
"328","P02778","R-HSA-380108","Chemokine receptors bind chemokines"
"329","P02778","R-HSA-418594","G alpha (i) signalling events"
"330","P02778","R-HSA-6783783","Interleukin-10 signaling"
"331","P02786","R-HSA-432722","Golgi Associated Vesicle Biogenesis"
"332","P02786","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis"
"333","P02786","R-HSA-8856828","Clathrin-mediated endocytosis"
"334","P02786","R-HSA-917977","Transferrin endocytosis and recycling"
"335","P03950","R-HSA-418990","Adherens junctions interactions"
"336","P03951","R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation"
"337","P03956","R-HSA-1442490","Collagen degradation"
"338","P03956","R-HSA-1474228","Degradation of the extracellular matrix"
"339","P03956","R-HSA-1592389","Activation of Matrix Metalloproteinases"
"340","P03956","R-HSA-210991","Basigin interactions"
"341","P03956","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"342","P03956","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"343","P04070","R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation"
"344","P04070","R-HSA-140875","Common Pathway of Fibrin Clot Formation"
"345","P04070","R-HSA-159740","Gamma-carboxylation of protein precursors"
"346","P04070","R-HSA-159763","Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"
"347","P04070","R-HSA-159782","Removal of aminoterminal propeptides from gamma-carboxylated proteins"
"348","P04070","R-HSA-202733","Cell surface interactions at the vascular wall"
"349","P04070","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"350","P04070","R-HSA-8957275","Post-translational protein phosphorylation"
"351","P04080","R-HSA-6798695","Neutrophil degranulation"
"352","P04085","R-HSA-114608","Platelet degranulation [P04085-1]"
"353","P04085","R-HSA-1257604","PIP3 activates AKT signaling"
"354","P04085","R-HSA-186763","Downstream signal transduction"
"355","P04085","R-HSA-186797","Signaling by PDGF"
"356","P04085","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"357","P04085","R-HSA-3000171","Non-integrin membrane-ECM interactions"
"358","P04085","R-HSA-5673001","RAF/MAP kinase cascade"
"359","P04085","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"360","P04275","R-HSA-114608","Platelet degranulation"
"361","P04275","R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation"
"362","P04275","R-HSA-216083","Integrin cell surface interactions"
"363","P04275","R-HSA-354192","Integrin alphaIIb beta3 signaling"
"364","P04275","R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins"
"365","P04275","R-HSA-372708","p130Cas linkage to MAPK signaling for integrins"
"366","P04275","R-HSA-430116","GP1b-IX-V activation signalling"
"367","P04275","R-HSA-5674135","MAP2K and MAPK activation"
"368","P04275","R-HSA-6802946","Signaling by moderate kinase activity BRAF mutants"
"369","P04275","R-HSA-6802948","Signaling by high-kinase activity BRAF mutants"
"370","P04275","R-HSA-6802952","Signaling by BRAF and RAF fusions"
"371","P04275","R-HSA-6802955","Paradoxical activation of RAF signaling by kinase inactive BRAF"
"372","P04275","R-HSA-75892","Platelet Adhesion to exposed collagen"
"373","P04275","R-HSA-76009","Platelet Aggregation (Plug Formation)"
"374","P04275","R-HSA-9649948","Signaling downstream of RAS mutants"
"375","P05089","R-HSA-6798695","Neutrophil degranulation"
"376","P05089","R-HSA-70635","Urea cycle"
"377","P05107","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade"
"378","P05107","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"379","P05107","R-HSA-202733","Cell surface interactions at the vascular wall"
"380","P05107","R-HSA-216083","Integrin cell surface interactions"
"381","P05107","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"382","P05107","R-HSA-6798695","Neutrophil degranulation"
"383","P05112","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"384","P05112","R-HSA-9012546","Interleukin-18 signaling"
"385","P05113","R-HSA-512988","Interleukin-3, Interleukin-5 and GM-CSF signaling"
"386","P05113","R-HSA-5673001","RAF/MAP kinase cascade"
"387","P05113","R-HSA-912526","Interleukin receptor SHC signaling"
"388","P05121","R-HSA-114608","Platelet degranulation"
"389","P05121","R-HSA-1368108","BMAL1:CLOCK,NPAS2 activates circadian gene expression"
"390","P05121","R-HSA-2173796","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"
"391","P05121","R-HSA-3000178","ECM proteoglycans"
"392","P05121","R-HSA-75205","Dissolution of Fibrin Clot"
"393","P05154","R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation"
"394","P05154","R-HSA-140875","Common Pathway of Fibrin Clot Formation"
"395","P05164","R-HSA-6798695","Neutrophil degranulation"
"396","P05164","R-HSA-8941413","Events associated with phagocytolytic activity of PMN cells"
"397","P05231","R-HSA-1059683","Interleukin-6 signaling"
